ingredient,category,reason
e903,Unknown,Not found in rulebook
star-anise,Unknown,Not found in rulebook
iron,Unknown,Not found in rulebook
de:pflanzenöl-aus-raps,Unknown,Not found in rulebook
grape-juice-from-concentrate,Unknown,Not found in rulebook
spring-water,Unknown,Not found in rulebook
natural-apple-flavouring,Unknown,Not found in rulebook
cottonseed-oil,Unknown,Not found in rulebook
red-chili-pepper,Unknown,Not found in rulebook
oil-palm,Unknown,Not found in rulebook
pumpkin,Unknown,Not found in rulebook
concentrated-pineapple-juice,Unknown,Not found in rulebook
caramel-powder,Unknown,Not found in rulebook
citrus-fruit-extract,Unknown,Not found in rulebook
vitamin-b6,Unknown,Not found in rulebook
e460ii,Unknown,Not found in rulebook
sesame-oil,Unknown,Not found in rulebook
grapefruit,Unknown,Not found in rulebook
grape,Unknown,Not found in rulebook
vanilla-pod,Unknown,Not found in rulebook
sodium-citrate,Unknown,Not found in rulebook
cabbage,Unknown,Not found in rulebook
e339ii,Unknown,Not found in rulebook
sucr,Unknown,Not found in rulebook
natural-raspberry-flavouring,Unknown,Not found in rulebook
fr:pais-de-origejs-noue,Unknown,Not found in rulebook
ada,Unknown,Not found in rulebook
confectioners-glaze,Unknown,Not found in rulebook
parmigiano-reggiano,Unknown,Not found in rulebook
asiago,Unknown,Not found in rulebook
chromium,Unknown,Not found in rulebook
banana-peppers,Unknown,Not found in rulebook
cellulose-gel,Unknown,Not found in rulebook
cider-vinegar,Unknown,Not found in rulebook
concentrated-grape-must,Unknown,Not found in rulebook
e297,Unknown,Not found in rulebook
e301,Unknown,Not found in rulebook
oil,Unknown,Not found in rulebook
cod,Unknown,Not found in rulebook
candied-orange-peel,Unknown,Not found in rulebook
yeast-powder,Unknown,Not found in rulebook
zinc-oxide,Unknown,Not found in rulebook
e500,Unknown,Not found in rulebook
wholemeal-oat,Unknown,Not found in rulebook
elderberry-juice-concentrate,Unknown,Not found in rulebook
fresh-lemon-juice-salt,Unknown,Not found in rulebook
iodine,Unknown,Not found in rulebook
chocolate-cream,Unknown,Not found in rulebook
caraway,Unknown,Not found in rulebook
e435,Unknown,Not found in rulebook
semi-skimmed-milk,Unknown,Not found in rulebook
filling,Unknown,Not found in rulebook
creamery-butter,Unknown,Not found in rulebook
boldo,Unknown,Not found in rulebook
coriander,Unknown,Not found in rulebook
liquid-smoke,Unknown,Not found in rulebook
cocoa-mass-rum,Unknown,Not found in rulebook
flax,Unknown,Not found in rulebook
kombucha-culture,Unknown,Not found in rulebook
evaporated-cane-juice,Unknown,Not found in rulebook
cocoa-butter-chocolate-liquor,Unknown,Not found in rulebook
raising-agent,Unknown,Not found in rulebook
hummus,Unknown,Not found in rulebook
rapeseed,Unknown,Not found in rulebook
shrimp,Unknown,Not found in rulebook
cider,Unknown,Not found in rulebook
root-vegetable,Unknown,Not found in rulebook
e385,Unknown,Not found in rulebook
palm-kernel-oil,Unknown,Not found in rulebook
unrefined-sugar,Unknown,Not found in rulebook
lacto,Unknown,Not found in rulebook
real-raspberries,Unknown,Not found in rulebook
fr:poudre-a,Unknown,Not found in rulebook
e1400,Unknown,Not found in rulebook
copper-gluconate,Unknown,Not found in rulebook
mozzarella,Unknown,Not found in rulebook
bell-pepper,Unknown,Not found in rulebook
cultured-pasteuri,Unknown,Not found in rulebook
hydrogenated-palm-oil,Unknown,Not found in rulebook
broth,Unknown,Not found in rulebook
sweet-brown-rice,Unknown,Not found in rulebook
egg-powder,Unknown,Not found in rulebook
pasteurized-semi-skimmed-milk,Unknown,Not found in rulebook
natural-hickory-smoke-flavor,Unknown,Not found in rulebook
cooked-grape-must,Unknown,Not found in rulebook
malt-syrup,Unknown,Not found in rulebook
