ingredient,category,reason
nutmeg_2072,Good,Common food additive with minimal side effects.
sodium nitrate_5770,Good,Generally recognized as safe in moderate quantities.
sodium nitrate_8162,Good,Generally recognized as safe in moderate quantities.
hydrogenated soybean oil_8712,Good,Generally recognized as safe in moderate quantities.
isomalt_4202,Bad,Banned in some countries due to toxicity.
sodium bicarbonate_8104,Bad,Potentially carcinogenic or disruptive to gut health.
broccoli powder_1405,Bad,Potentially carcinogenic or disruptive to gut health.
hydrolyzed corn protein_2717,Excellent,Natural extract known to support health.
polydextrose_2597,Good,Naturally derived and well tolerated.
sodium stearoyl lactylate_1773,Good,Generally recognized as safe in moderate quantities.
sodium nitrate_6532,Bad,Banned in some countries due to toxicity.
lactic acid_4052,Good,Used as thickener or stabilizer with safe profile.
erythritol_7645,Good,Used as thickener or stabilizer with safe profile.
sodium nitrate_8769,Good,Common food additive with minimal side effects.
phosphoric acid_6372,Unknown,Unclear sourcing or insufficient documentation.
malt extract_3363,Excellent,Recognized for anti-inflammatory benefits.
lactic acid_2022,Good,Common food additive with minimal side effects.
calcium alginate_9471,Good,Used as thickener or stabilizer with safe profile.
polydextrose_2372,Unknown,Not found in standard food safety databases.
citric acid_9859,Good,Common food additive with minimal side effects.
lactic acid_7738,Bad,Highly processed additive with health concerns.
sodium bicarbonate_5223,Unknown,Insufficient data for conclusive assessment.
brominated vegetable oil_2302,Excellent,Recognized for anti-inflammatory benefits.
sodium chloride_8929,Good,Used as thickener or stabilizer with safe profile.
black pepper_7883,Good,Naturally derived and well tolerated.
hydrolyzed corn protein_9731,Bad,Highly processed additive with health concerns.
grape seed extract_5079,Good,Naturally derived and well tolerated.
sodium chloride_5921,Bad,Highly processed additive with health concerns.
phosphoric acid_9142,Good,Naturally derived and well tolerated.
sodium sulfite_8680,Bad,Highly processed additive with health concerns.
canola lecithin_8212,Excellent,Whole food derived with antioxidant properties.
grape seed extract_3695,Good,Generally recognized as safe in moderate quantities.
microcrystalline cellulose_2610,Good,Generally recognized as safe in moderate quantities.
brominated vegetable oil_5815,Good,Naturally derived and well tolerated.
lactic acid_8997,Unknown,May be safe but lacks scientific consensus.
onion powder_2930,Bad,Highly processed additive with health concerns.
ethylenediaminetetraacetic acid_9693,Bad,Banned in some countries due to toxicity.
yeast extract_6149,Bad,Potentially carcinogenic or disruptive to gut health.
molasses_1219,Excellent,Whole food derived with antioxidant properties.
titanium dioxide_8968,Excellent,Recognized for anti-inflammatory benefits.
enzyme-modified cheese_7784,Bad,Potentially carcinogenic or disruptive to gut health.
grape seed extract_4442,Excellent,Recognized for anti-inflammatory benefits.
butylated hydroxytoluene_4314,Good,Used as thickener or stabilizer with safe profile.
lecithin_9889,Bad,Linked to adverse health effects with prolonged use.
vegetable glycerin_3181,Good,Used as thickener or stabilizer with safe profile.
broccoli powder_9102,Bad,Potentially carcinogenic or disruptive to gut health.
onion powder_4031,Good,Naturally derived and well tolerated.
